trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
802,False,"{'a': 0.5, 'e': 0.35956001080427363}",20,0,11.19883425479569,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
803,False,"{'a': 0.5, 'e': 0.35815992387907736}",20,0,-52.582347069033624,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
804,False,"{'a': 0.5, 'e': 0.35675903109420365}",35,20,12.973066678371017,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
805,False,"{'a': 0.5, 'e': 0.35535733560166033}",30,0,-81.27667778380963,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 3}",0
806,False,"{'a': 0.5, 'e': 0.3539548405552618}",25,0,9.983944854022658,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
807,False,"{'a': 0.5, 'e': 0.3525515491106213}",25,19,13.684103927883678,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
808,False,"{'a': 0.5, 'e': 0.3511474644251443}",25,9,28.816945555952007,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
809,False,"{'a': 0.5, 'e': 0.3497425896580202}",20,0,27.511180402827463,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
810,False,"{'a': 0.5, 'e': 0.348336927970217}",25,14,-20.9510278249541,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
811,False,"{'a': 0.5, 'e': 0.34693048252447295}",30,15,18.117808358893317,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
812,False,"{'a': 0.5, 'e': 0.3455232564852894}",20,3,-2.9430924225381636,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
813,False,"{'a': 0.5, 'e': 0.34411525301892454}",25,15,1.4835547885667049,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
814,False,"{'a': 0.5, 'e': 0.3427064752933856}",35,26,14.46785417453211,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
815,False,"{'a': 0.5, 'e': 0.34129692647842197}",30,17,22.817404463716827,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
816,False,"{'a': 0.5, 'e': 0.3398866097455176}",20,0,-78.09632423094287,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
817,False,"{'a': 0.5, 'e': 0.33847552826788463}",25,0,-61.380883534971794,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
818,False,"{'a': 0.5, 'e': 0.3370636852204559}",20,7,23.489828846395877,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
819,False,"{'a': 0.5, 'e': 0.3356510837798778}",20,0,-4.403713606196753,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
820,False,"{'a': 0.5, 'e': 0.3342377271245026}",20,12,4.631830589997363,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
821,False,"{'a': 0.5, 'e': 0.3328236184343824}",20,0,-89.45612315553437,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
822,False,"{'a': 0.5, 'e': 0.3314087608912611}",20,10,8.724276513553365,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
823,False,"{'a': 0.5, 'e': 0.32999315767856785}",20,7,18.472461155442,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
824,False,"{'a': 0.5, 'e': 0.3285768119814088}",25,0,-9.284203363278149,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",1
825,False,"{'a': 0.5, 'e': 0.3271597269865614}",25,8,19.154539224885006,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
826,False,"{'a': 0.5, 'e': 0.3257419058824663}",20,14,4.916209144327617,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
827,False,"{'a': 0.5, 'e': 0.3243233518592207}",35,21,11.84597640009793,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
828,False,"{'a': 0.5, 'e': 0.3229040681085699}",25,10,5.862796764947619,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
829,False,"{'a': 0.5, 'e': 0.3214840578239021}",30,21,17.83223429081525,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
830,False,"{'a': 0.5, 'e': 0.32006332420023986}",25,14,-30.572900009483348,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
831,False,"{'a': 0.5, 'e': 0.3186418704342334}",20,16,9.803467840068599,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
832,False,"{'a': 0.5, 'e': 0.3172196997241527}",30,15,2.1732777322684353,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
833,False,"{'a': 0.5, 'e': 0.3157968152698814}",30,17,-34.48249795180646,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 0}",1
834,False,"{'a': 0.5, 'e': 0.31437322027290904}",25,18,1.112975934528763,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
835,False,"{'a': 0.5, 'e': 0.31294891793632384}",30,16,-26.805839480222424,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
836,False,"{'a': 0.5, 'e': 0.3115239114648051}",30,18,19.530269934940748,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
837,False,"{'a': 0.5, 'e': 0.310098204064617}",20,0,-71.0420611669836,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
838,False,"{'a': 0.5, 'e': 0.3086717989436006}",25,7,-22.50467379386383,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
839,False,"{'a': 0.5, 'e': 0.307244699311167}",25,8,18.335143611243627,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
840,False,"{'a': 0.5, 'e': 0.30581690837828934}",20,14,8.214861018738933,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
841,False,"{'a': 0.5, 'e': 0.3043884293574968}",20,6,11.78709435743156,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
842,False,"{'a': 0.5, 'e': 0.3029592654628667}",25,12,4.989508588380944,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
843,False,"{'a': 0.5, 'e': 0.3015294199100173}",25,11,3.568771698859188,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
844,False,"{'a': 0.5, 'e': 0.3000988959161001}",25,15,-32.72976150634262,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
